timestamp,copilot_total,copilot_merged,codex_total,codex_merged,cursor_total,cursor_merged,devin_total,devin_merged,codegen_total,codegen_merged,copilot_nondraft,codex_nondraft,cursor_nondraft,devin_nondraft,codegen_nondraft
2025‑06‑14 12:01:06,15433,7719,310888,262842,1127,848,28604,17455,4073,1504,8607,301350,1081,26294,1750
2025‑06‑14 15:01:04,15545,7781,312833,264593,1133,854,28622,17467,4074,1504,8643,303464,1085,26314,1750
2025‑06‑14 18:01:07,15654,7840,315101,266636,1136,858,28635,17481,4078,1504,8713,305897,1087,26325,1750
2025‑06‑14 21:01:04,15727,7914,317599,268843,1145,865,28614,17456,4087,1507,8775,308114,1095,26334,1755
2025‑06‑15 00:02:07,15751,7930,319978,270953,1148,869,28647,17463,4103,1508,8817,310228,1100,26339,1757
2025‑06‑15 03:27:22,15809,7968,321493,272315,1159,879,28622,17461,4121,1515,8859,311926,1103,26344,1767
2025‑06‑15 06:00:56,15837,7993,322513,273180,1169,885,28626,17465,4141,1515,8874,313040,1111,26355,1768
2025‑06‑15 09:01:15,15880,8027,324694,274974,1177,887,28656,17482,4155,1518,8902,314781,1124,26377,1771
2025‑06‑15 12:01:11,15955,8062,326758,276578,1181,890,28669,17489,4159,1518,8937,316936,1127,26392,1774
2025‑06‑15 15:01:02,16057,8145,328798,278371,1188,894,28675,17494,4165,1521,8982,318985,1134,26405,1777
2025‑06‑15 18:01:06,16150,8196,331624,280913,1206,910,28683,17500,4169,1522,9042,321377,1146,26418,1780
2025‑06‑15 21:01:00,16294,8292,333834,282865,1201,905,28731,17542,4169,1522,9110,323627,1153,26437,1780
2025‑06‑16 00:36:04,16353,8341,336517,285170,1212,916,28739,17544,4097,1523,9154,326268,1167,26445,1782
2025‑06‑16 03:25:53,16397,8364,338382,286750,1226,926,28750,17553,4091,1523,9190,327999,1181,26460,1782
2025‑06‑16 06:01:20,16448,8406,339735,287933,1233,930,28785,17570,4086,1523,9227,329267,1187,26495,1783
2025‑06‑16 09:01:44,16539,8493,340692,288582,1234,932,28819,17593,4091,1524,9266,331176,1191,26524,1785
2025‑06‑16 12:01:12,16597,8544,342642,290296,1250,945,28834,17606,4094,1524,9306,333357,1208,26539,1785
2025‑06‑16 15:01:09,16734,8627,345485,292795,1255,949,28862,17615,3888,1524,9368,335902,1215,26566,1786
2025‑06‑16 18:01:09,16808,8681,348101,295086,1267,955,28904,17656,3889,1524,9416,338452,1225,26589,1787
2025‑06‑16 21:01:08,16866,8740,351381,298007,1275,955,28922,17664,3890,1525,9453,341265,1232,26609,1788
2025‑06‑17 00:02:03,16925,8785,353453,299852,1284,962,28973,17705,3898,1529,9495,343530,1240,26632,1796
2025‑06‑17 03:22:49,16989,8828,355433,301635,1292,970,28951,17709,3911,1534,9543,345429,1245,26651,1806
2025‑06‑17 06:01:08,17011,8835,357049,303053,1298,975,28987,17726,3927,1545,9568,346746,1252,26671,1817
2025‑06‑17 09:01:57,17066,8887,358256,304089,1303,978,29001,17736,3929,1546,9608,348519,1256,26692,1819
2025‑06‑17 12:01:13,17114,8927,360443,306022,1322,987,29014,17740,3930,1547,9643,350410,1277,26705,1820
2025‑06‑17 15:01:12,17217,8993,362959,308299,1333,995,29028,17751,3934,1549,9695,352960,1286,26723,1822
2025‑06‑17 18:01:00,17270,9061,366148,311188,1346,1003,29069,17759,3936,1550,9742,355533,1298,26749,1824
2025‑06‑17 21:01:09,17212,8993,367732,312552,1350,1010,29093,17771,3940,1550,9788,357477,1302,26775,1828
2025‑06‑18 00:01:56,17218,8982,369603,314239,1364,1014,29111,17778,3946,1551,9824,359431,1315,26811,1834
2025‑06‑18 03:22:07,17259,9001,371316,315681,1371,1016,29129,17782,3948,1551,9850,361319,1322,26827,1835
2025‑06‑18 06:01:13,17349,9032,371694,315997,1379,1023,29135,17788,3950,1553,9904,362850,1331,26842,1837
2025‑06‑18 09:01:23,17405,9081,373578,317614,1388,1026,29145,17790,3952,1553,9954,364663,1340,26865,1838
2025‑06‑18 12:01:14,17497,9133,375611,319400,1396,1034,29161,17796,3953,1553,10021,366868,1346,26878,1838
2025‑06‑18 15:01:05,17579,9206,378611,322064,1390,1036,29170,17806,3955,1553,10075,369426,1355,26908,1839
2025‑06‑18 18:01:12,17680,9263,381218,324371,1401,1045,29222,17843,3958,1554,10139,371988,1364,26934,1842
2025‑06‑18 21:00:59,17748,9303,384910,327928,1414,1052,29235,17852,3965,1555,10187,374523,1374,26966,1846
2025‑06‑19 00:02:02,17815,9343,387324,330081,1422,1059,29232,17852,3968,1555,10215,376614,1379,26988,1846
2025‑06‑19 03:22:23,17893,9386,389285,331859,1436,1069,29260,17872,3969,1556,10271,378738,1390,27013,1848
2025‑06‑19 06:01:03,17939,9419,391110,333458,1447,1078,29281,17887,3981,1564,10306,380254,1395,27031,1857
2025‑06‑19 09:01:14,18022,9468,392555,334699,1457,1085,29291,17895,3997,1576,10343,382029,1405,27038,1869
2025‑06‑19 12:01:17,18084,9499,395472,337346,1465,1089,29314,17901,4007,1579,10378,384124,1412,27061,1876
2025‑06‑19 15:01:09,18155,9554,397696,339372,1476,1099,29344,17917,4011,1579,10425,386395,1428,27090,1879
2025‑06‑19 18:00:57,18255,9624,400057,341541,1484,1107,29362,17926,4007,1580,10497,388743,1441,27112,1880
2025‑06‑19 21:01:04,18333,9676,402858,344083,1503,1118,29385,17945,4014,1580,10541,391064,1459,27135,1880
2025‑06‑20 00:02:05,18388,9720,404907,345886,1532,1130,29390,17958,4010,1580,10576,393302,1488,27144,1881
2025‑06‑20 03:22:05,17542,9750,407380,348064,1562,1152,29423,17985,3999,1580,10598,395407,1513,27162,1881
2025‑06‑20 06:01:10,17401,9761,408599,349168,1576,1163,29448,17996,3999,1580,10609,396769,1533,27185,1885
2025‑06‑20 09:01:03,17449,9796,410135,350541,1598,1183,29486,18025,4001,1582,10649,398300,1554,27222,1890
2025‑06‑20 12:01:04,17339,9820,411911,352096,1627,1205,29514,18043,4004,1582,10682,400069,1581,27250,1891
2025‑06‑20 15:01:09,17410,9859,413763,353639,1653,1212,29534,18056,4013,1582,10741,402402,1607,27270,1893
2025‑06‑20 18:01:12,17464,9894,415905,355473,1681,1235,29619,18103,4006,1582,10774,404666,1640,27311,1893
2025‑06‑20 21:00:56,17352,9914,418244,357621,1721,1256,29653,18125,4017,1583,10794,406854,1679,27341,1897
2025‑06‑21 00:05:29,17274,9946,420458,359609,1729,1266,29617,18077,4027,1588,10821,408790,1685,27370,1903
2025‑06‑21 03:20:36,17336,9969,421881,360882,1755,1288,29634,18092,4028,1593,10842,410366,1711,27385,1910
2025‑06‑21 06:01:01,17365,9990,423298,362137,1757,1289,29645,18101,4029,1603,10858,411734,1712,27397,1924
2025‑06‑21 09:00:59,17410,10025,425081,363903,1766,1302,29658,18109,4032,1603,10891,413278,1718,27408,1925
2025‑06‑21 12:01:05,17479,10046,427259,365849,1783,1313,29678,18124,4037,1608,10918,415047,1735,27423,1932
2025‑06‑21 15:01:05,17529,10074,428555,366999,1804,1331,29709,18147,4042,1608,10950,417169,1761,27453,1936
2025‑06‑21 18:00:53,17596,10124,430896,369092,1831,1355,29734,18166,4046,1611,10996,419336,1786,27478,1940
